seed,policy,bot_seed,months,death_turn,death_date,surface,root_cause,victory,doom_start,doom_m1,doom_m2,doom_m3,doom_m4,doom_m5,doom_m6,doom_final,win_offered,win_reserve,win_cannib,win_defer,win_ignore,win_autoignore,ledger_entries,ledger_billed,money_final,rep_final
l1sweep-random_walk-00,random_walk,317791418,4,102,November 2017,doom,ledger,false,20.0,19.9,27.8,32.9,53.2,,,100.0,15,0,7,5,3,0,12,8,-734,26.7
l1sweep-random_walk-01,random_walk,1649419835,13,297,August 2018,doom,ledger,false,20.0,25.6,26.2,22.6,13.9,3.3,0.3,100.0,57,13,10,14,20,0,24,9,-1891,54.0
l1sweep-random_walk-02,random_walk,2981048252,8,176,March 2018,doom,ledger,false,20.0,26.2,34.5,46.4,58.6,73.7,85.0,100.0,27,5,8,6,8,0,11,4,94164,56.4
l1sweep-random_walk-03,random_walk,17709373,5,120,December 2017,doom,ledger,false,20.0,23.0,26.2,29.8,36.1,79.1,,100.0,18,1,9,3,5,0,9,7,87663,46.0
l1sweep-random_walk-04,random_walk,1349337790,4,98,November 2017,doom,ledger,false,20.0,30.1,40.3,49.7,79.9,,,100.0,15,2,8,1,4,0,7,7,232175,20.3
l1sweep-random_walk-05,random_walk,2680966207,5,115,December 2017,doom,ledger,false,20.0,26.9,35.7,47.2,57.9,95.6,,100.0,18,5,7,2,4,0,9,4,-447,53.7
l1sweep-random_walk-06,random_walk,4012594624,7,165,February 2018,rep,ledger,false,20.0,14.6,14.3,7.2,15.6,40.7,47.8,48.1,24,1,10,8,5,0,16,11,-442,0.0
l1sweep-random_walk-07,random_walk,1049255745,6,133,January 2018,doom,ledger,false,20.0,23.3,26.2,24.8,33.8,50.3,76.0,100.0,21,3,8,6,4,0,16,8,35462,52.0
l1sweep-random_walk-08,random_walk,2380884162,12,260,July 2018,doom,ledger,false,20.0,24.8,27.5,37.0,42.2,26.9,0.0,100.0,47,5,22,7,13,0,20,14,-4591,47.3
l1sweep-random_walk-09,random_walk,3712512579,6,132,January 2018,doom,ledger,false,20.0,23.4,28.1,43.3,61.9,76.3,92.6,100.0,21,3,9,6,3,0,13,3,23396,48.0
l1sweep-random_walk-10,random_walk,1311856219,9,199,April 2018,doom,ledger,false,20.0,23.6,25.8,31.0,35.4,34.7,31.5,100.0,30,6,13,5,6,0,26,21,-40895,39.0
l1sweep-random_walk-11,random_walk,2643484636,18,404,January 2019,doom,ledger,false,20.0,24.4,17.0,9.4,0.0,4.7,12.9,100.0,87,14,32,17,24,0,32,17,-444,34.3
l1sweep-random_walk-12,random_walk,3975113053,8,187,March 2018,doom,ledger,false,20.0,28.1,36.7,35.6,39.6,35.0,43.3,100.0,27,4,8,6,9,0,14,6,-431,53.0
l1sweep-random_walk-13,random_walk,1011774174,7,162,February 2018,doom,ledger,false,20.0,22.4,24.4,29.3,33.7,39.8,54.8,100.0,24,2,6,7,9,0,13,7,-4385,35.2
l1sweep-random_walk-14,random_walk,2343402591,7,158,February 2018,doom,ledger,false,20.0,12.8,0.6,-3.0,1.0,5.7,32.4,100.0,24,3,5,7,9,0,20,11,243460,38.0
l1sweep-random_walk-15,random_walk,3675031008,8,183,March 2018,doom,ledger,false,20.0,23.7,35.4,37.4,30.8,29.8,35.7,100.0,27,4,8,7,8,0,13,7,-18048,72.0
l1sweep-random_walk-16,random_walk,711692129,12,260,July 2018,doom,ledger,false,20.0,24.8,27.3,31.5,34.4,40.3,43.0,100.0,47,3,9,16,19,0,25,4,123417,3.6
l1sweep-random_walk-17,random_walk,2043320546,10,226,May 2018,doom,ledger,false,20.0,23.9,27.1,32.7,21.9,5.4,16.8,100.0,39,8,11,14,6,0,30,15,98632,30.2
l1sweep-random_walk-18,random_walk,3374948963,5,122,December 2017,doom,ledger,false,20.0,22.6,25.7,30.0,34.4,69.9,,100.0,18,2,7,6,3,0,14,6,-227,15.0
