opening_id,engine_seed,months,death_turn,surface,root_cause,doom_final,cash_m6,publish_paper,safety_research,capability_research,buy_compute,fundraise_small,fundraise_big,take_loan,apply_grant,network,audit_safety,order_supplies,team_building,media_campaign,desperation_lever,funding_strings,hire_safety_researcher,hire_capability_researcher
0,sweep-00,23,506,doom,doom,100.0,-1057,2,1,0,3,2,2,1,1,1,2,7,1,0,3,4,3,3
0,sweep-01,16,355,doom,doom,100.0,131296,2,1,0,3,2,2,1,1,1,2,7,1,0,3,4,3,3
0,sweep-02,15,347,doom,doom,100.0,211527,2,1,0,3,2,2,1,1,1,2,7,1,0,3,4,3,3
1,sweep-00,5,115,doom,ledger,100.0,7460,1,4,0,1,1,0,1,2,3,1,4,3,1,2,7,3,2
1,sweep-01,23,512,doom,ledger,100.0,5921,1,4,0,1,1,0,1,2,3,1,4,3,1,2,7,3,2
1,sweep-02,7,154,doom,ledger,100.0,-1280,1,4,0,1,1,0,1,2,3,1,4,3,1,2,7,3,2
2,sweep-00,17,383,doom,ledger,100.0,224455,1,1,1,3,2,3,3,3,1,2,2,3,1,6,2,0,2
2,sweep-01,19,432,doom,doom,100.0,133372,1,1,1,3,2,3,3,3,1,2,2,3,1,6,2,0,2
2,sweep-02,21,471,doom,ledger,100.0,303279,1,1,1,3,2,3,3,3,1,2,2,3,1,6,2,0,2
3,sweep-00,6,140,doom,ledger,100.0,-1936,1,4,0,3,2,1,4,2,2,2,2,1,4,2,2,3,1
3,sweep-01,7,165,doom,ledger,100.0,2974,1,4,0,3,2,1,4,2,2,2,2,1,4,2,2,3,1
3,sweep-02,21,461,doom,doom,100.0,-3917,1,4,0,3,2,1,4,2,2,2,2,1,4,2,2,3,1
4,sweep-00,18,392,doom,ledger,100.0,123501,1,1,2,3,1,5,1,3,1,3,1,2,2,3,1,4,2
4,sweep-01,19,422,doom,doom,100.0,141528,1,1,2,3,1,5,1,3,1,3,1,2,2,3,1,4,2
4,sweep-02,17,380,doom,doom,100.0,156103,1,1,2,3,1,5,1,3,1,3,1,2,2,3,1,4,2
5,sweep-00,11,251,doom,doom,100.0,87783,1,6,0,4,4,2,4,0,1,1,1,0,3,3,2,3,1
5,sweep-01,13,291,doom,ledger,100.0,146097,1,6,0,4,4,2,4,0,1,1,1,0,3,3,2,3,1
5,sweep-02,13,286,doom,ledger,100.0,121348,1,6,0,4,4,2,4,0,1,1,1,0,3,3,2,3,1
6,sweep-00,12,264,doom,doom,100.0,119299,0,3,2,3,4,2,1,3,0,0,1,1,4,5,3,3,1
6,sweep-01,15,330,doom,ledger,100.0,104582,0,3,2,3,4,2,1,3,0,0,1,1,4,5,3,3,1
6,sweep-02,19,426,doom,ledger,100.0,103305,0,3,2,3,4,2,1,3,0,0,1,1,4,5,3,3,1
7,sweep-00,6,151,doom,doom,100.0,221787,2,4,3,2,1,3,4,1,2,2,5,0,1,1,1,2,2
7,sweep-01,11,253,doom,doom,100.0,326980,2,4,3,2,1,3,4,1,2,2,5,0,1,1,1,2,2
7,sweep-02,8,187,doom,ledger,100.0,223757,2,4,3,2,1,3,4,1,2,2,5,0,1,1,1,2,2
8,sweep-00,11,253,doom,doom,100.0,-15082,3,3,3,3,1,2,2,3,1,0,2,2,2,2,3,2,2
8,sweep-01,24,527,doom,doom,100.0,14144,3,3,3,3,1,2,2,3,1,0,2,2,2,2,3,2,2
8,sweep-02,14,323,doom,doom,100.0,56592,3,3,3,3,1,2,2,3,1,0,2,2,2,2,3,2,2
9,sweep-00,10,235,doom,ledger,100.0,1839,1,1,1,5,1,1,2,4,2,0,3,4,1,4,3,3,0
9,sweep-01,15,347,doom,ledger,100.0,7637,1,1,1,5,1,1,2,4,2,0,3,4,1,4,3,3,0
9,sweep-02,29,648,doom,ledger,100.0,2428,1,1,1,5,1,1,2,4,2,0,3,4,1,4,3,3,0
10,sweep-00,8,176,doom,ledger,100.0,178938,2,4,2,1,2,2,2,4,2,2,4,0,3,1,2,2,1
10,sweep-01,14,317,doom,doom,100.0,108376,2,4,2,1,2,2,2,4,2,2,4,0,3,1,2,2,1
10,sweep-02,8,175,doom,doom,100.0,118348,2,4,2,1,2,2,2,4,2,2,4,0,3,1,2,2,1
11,sweep-00,13,299,doom,doom,100.0,249,2,0,1,6,3,3,2,4,1,2,0,2,2,3,1,2,2
11,sweep-01,22,498,doom,doom,100.0,63785,2,0,1,6,3,3,2,4,1,2,0,2,2,3,1,2,2
11,sweep-02,17,386,doom,ledger,100.0,49122,2,0,1,6,3,3,2,4,1,2,0,2,2,3,1,2,2
12,sweep-00,12,278,doom,ledger,100.0,6698,3,1,0,3,2,3,3,1,3,0,1,4,2,2,1,5,2
12,sweep-01,18,399,doom,doom,100.0,-7980,3,1,0,3,2,3,3,1,3,0,1,4,2,2,1,5,2
12,sweep-02,13,285,doom,ledger,100.0,1512,3,1,0,3,2,3,3,1,3,0,1,4,2,2,1,5,2
13,sweep-00,6,149,doom,ledger,100.0,-2727,4,1,1,2,3,0,2,1,2,2,0,1,2,4,2,4,5
13,sweep-01,5,122,rep,ledger,49.5,2551,4,1,1,2,3,0,2,1,2,2,0,1,2,4,2,4,5
13,sweep-02,5,119,doom,ledger,100.0,54795,4,1,1,2,3,0,2,1,2,2,0,1,2,4,2,4,5
14,sweep-00,9,203,doom,doom,100.0,512638,2,0,2,0,3,4,6,4,2,3,1,2,2,2,1,0,2
14,sweep-01,8,175,doom,doom,100.0,601122,2,0,2,0,3,4,6,4,2,3,1,2,2,2,1,0,2
14,sweep-02,16,358,doom,doom,100.0,476733,2,0,2,0,3,4,6,4,2,3,1,2,2,2,1,0,2
15,sweep-00,9,200,doom,doom,100.0,444140,5,2,1,0,2,3,2,3,0,0,3,3,2,4,3,1,2
15,sweep-01,30,652,none,none,54.6,572474,5,2,1,0,2,3,2,3,0,0,3,3,2,4,3,1,2
15,sweep-02,8,190,doom,ledger,100.0,258211,5,2,1,0,2,3,2,3,0,0,3,3,2,4,3,1,2
16,sweep-00,18,393,doom,ledger,100.0,265319,1,0,4,2,2,5,0,1,1,1,4,1,4,3,2,2,3
16,sweep-01,20,444,doom,ledger,100.0,275471,1,0,4,2,2,5,0,1,1,1,4,1,4,3,2,2,3
16,sweep-02,13,291,doom,doom,100.0,288681,1,0,4,2,2,5,0,1,1,1,4,1,4,3,2,2,3
17,sweep-00,7,160,doom,ledger,100.0,124491,4,2,7,2,3,0,1,2,4,1,1,2,3,0,3,0,1
17,sweep-01,16,365,doom,ledger,100.0,-2887,4,2,7,2,3,0,1,2,4,1,1,2,3,0,3,0,1
17,sweep-02,7,162,doom,ledger,100.0,-2461,4,2,7,2,3,0,1,2,4,1,1,2,3,0,3,0,1
18,sweep-00,15,338,doom,ledger,100.0,108630,1,3,1,4,3,3,3,1,2,0,1,2,2,5,2,1,2
18,sweep-01,21,466,doom,doom,100.0,343898,1,3,1,4,3,3,3,1,2,0,1,2,2,5,2,1,2
18,sweep-02,21,462,doom,doom,100.0,259842,1,3,1,4,3,3,3,1,2,0,1,2,2,5,2,1,2
19,sweep-00,14,318,doom,doom,100.0,287659,2,1,3,1,4,3,3,2,1,1,0,4,2,2,5,2,0
19,sweep-01,17,374,doom,doom,100.0,300803,2,1,3,1,4,3,3,2,1,1,0,4,2,2,5,2,0
19,sweep-02,15,345,doom,doom,100.0,159751,2,1,3,1,4,3,3,2,1,1,0,4,2,2,5,2,0
20,sweep-00,15,335,doom,doom,100.0,157704,2,1,2,5,3,4,0,0,0,3,3,4,1,3,3,0,2
20,sweep-01,16,353,doom,doom,100.0,197433,2,1,2,5,3,4,0,0,0,3,3,4,1,3,3,0,2
20,sweep-02,8,186,doom,doom,100.0,151377,2,1,2,5,3,4,0,0,0,3,3,4,1,3,3,0,2
21,sweep-00,14,321,doom,doom,100.0,212487,3,2,1,2,4,1,2,4,3,1,1,2,2,0,5,2,1
21,sweep-01,10,217,doom,doom,100.0,142250,3,2,1,2,4,1,2,4,3,1,1,2,2,0,5,2,1
21,sweep-02,15,344,doom,doom,100.0,200025,3,2,1,2,4,1,2,4,3,1,1,2,2,0,5,2,1
22,sweep-00,6,133,doom,ledger,100.0,208032,2,0,1,1,1,1,1,2,4,0,3,5,3,3,1,4,4
22,sweep-01,7,162,doom,ledger,100.0,181171,2,0,1,1,1,1,1,2,4,0,3,5,3,3,1,4,4
22,sweep-02,6,133,doom,ledger,100.0,152214,2,0,1,1,1,1,1,2,4,0,3,5,3,3,1,4,4
23,sweep-00,21,466,doom,doom,100.0,18444,3,0,2,0,4,3,2,2,2,4,1,2,3,3,5,0,0
23,sweep-01,25,550,doom,doom,100.0,4281,3,0,2,0,4,3,2,2,2,4,1,2,3,3,5,0,0
23,sweep-02,22,481,doom,doom,100.0,141624,3,0,2,0,4,3,2,2,2,4,1,2,3,3,5,0,0
24,sweep-00,15,328,doom,doom,100.0,5086,2,1,5,4,4,3,0,0,1,1,2,4,0,2,1,4,2
24,sweep-01,17,375,doom,doom,100.0,26725,2,1,5,4,4,3,0,0,1,1,2,4,0,2,1,4,2
24,sweep-02,20,437,doom,doom,100.0,3598,2,1,5,4,4,3,0,0,1,1,2,4,0,2,1,4,2
25,sweep-00,18,413,doom,doom,100.0,54421,2,0,3,3,4,1,1,0,4,4,2,3,1,2,2,3,1
25,sweep-01,19,428,doom,ledger,100.0,164679,2,0,3,3,4,1,1,0,4,4,2,3,1,2,2,3,1
25,sweep-02,15,339,doom,ledger,100.0,173021,2,0,3,3,4,1,1,0,4,4,2,3,1,2,2,3,1
26,sweep-00,7,157,doom,ledger,100.0,-1936,0,4,1,2,2,4,3,1,2,2,5,3,1,2,0,0,4
26,sweep-01,6,149,doom,ledger,100.0,-2273,0,4,1,2,2,4,3,1,2,2,5,3,1,2,0,0,4
26,sweep-02,12,262,doom,ledger,100.0,-4080,0,4,1,2,2,4,3,1,2,2,5,3,1,2,0,0,4
